x,y
-10.0,62.0
-9.797979797979798,59.79818385878992
-9.595959595959595,57.63717987960412
-9.393939393939394,55.51698806244261
-9.191919191919192,53.437608407305376
-8.98989898989899,51.399040914192426
-8.787878787878787,49.40128558310376
-8.585858585858587,47.44434241403939
-8.383838383838384,45.52821140699929
-8.181818181818182,43.65289256198347
-7.979797979797979,41.81838587899193
-7.777777777777778,40.02469135802469
-7.575757575757576,38.27180899908173
-7.373737373737374,36.55973880216304
-7.171717171717171,34.88848076726864
-6.96969696969697,33.258034894398534
-6.767676767676768,31.668401183552703
-6.565656565656566,30.119579634731153
-6.363636363636363,28.611570247933884
-6.161616161616162,27.144373023160902
-5.959595959595959,25.7179879604122
-5.757575757575758,24.33241505968779
-5.555555555555555,22.98765432098765
-5.353535353535354,21.68370574431181
-5.151515151515151,20.42056932966024
-4.94949494949495,19.198245077032958
-4.747474747474747,18.016732986429957
-4.545454545454546,16.87603305785124
-4.343434343434343,15.776145291296807
-4.141414141414142,14.717069686766658
-3.9393939393939394,13.69880624426079
-3.737373737373738,12.72135496377921
-3.5353535353535355,11.784715845321905
-3.333333333333333,10.888888888888888
-3.1313131313131315,10.033874094480156
-2.929292929292929,9.219671462095704
-2.7272727272727275,8.446280991735538
-2.525252525252525,7.713702683399653
-2.3232323232323235,7.021936537088053
-2.121212121212121,6.370982552800735
-1.9191919191919187,5.760840730537699
-1.717171717171718,5.191511070298951
-1.5151515151515156,4.662993572084482
-1.3131313131313131,4.175288235894296
-1.1111111111111107,3.7283950617283943
-0.9090909090909101,3.3223140495867787
-0.7070707070707076,2.9570451994694427
-0.5050505050505052,2.6325885113763903
-0.30303030303030276,2.3489439853076215
-0.10101010101010033,2.1061116212631354
0.10101010101010033,1.904091419242935
0.30303030303030276,1.7428833792470158
0.5050505050505052,1.6224875012753799
0.7070707070707076,1.5429037853280276
0.9090909090909083,1.5041322314049588
1.1111111111111107,1.5061728395061729
1.3131313131313131,1.5490256096316704
1.5151515151515156,1.632690541781451
1.7171717171717162,1.7571676359555142
1.9191919191919187,1.9224568921538614
2.121212121212121,2.128558310376492
2.3232323232323235,2.3754718906234062
2.525252525252524,2.663197632894601
2.7272727272727266,2.9917355371900816
2.929292929292929,3.3610856035098458
3.1313131313131315,3.771247831853893
3.333333333333334,4.222222222222223
3.5353535353535346,4.714008774614833
3.737373737373737,5.246607489031731
3.9393939393939394,5.820018365472911
4.141414141414142,6.434241403938374
4.3434343434343425,7.089276604428116
4.545454545454545,7.785123966942146
4.747474747474747,8.52178349148046
4.94949494949495,9.299255178043058
5.1515151515151505,10.117539026629931
5.353535353535353,10.976635037241095
5.555555555555555,11.876543209876543
5.757575757575758,12.817263544536274
5.9595959595959584,13.798796041220278
6.161616161616163,14.821140699928584
6.363636363636363,15.884297520661157
6.565656565656564,16.98826650341801
6.767676767676768,18.133047648199167
6.969696969696969,19.318640955004586
7.171717171717173,20.54504642383431
7.373737373737374,21.812264054688296
7.575757575757574,23.120293847566565
7.777777777777779,24.46913580246914
7.979797979797979,25.858789919395974
8.18181818181818,27.289256198347097
8.383838383838384,28.76053463932252
8.585858585858585,30.272625242322203
8.787878787878789,31.8255280073462
8.98989898989899,33.41924293439445
9.19191919191919,35.05377002346698
9.393939393939394,36.729109274563825
9.595959595959595,38.44526068768492
9.7979797979798,40.202224262830335
10.0,42.0
